Wall time,Step,Value
1611950942.9068577,1,43.0
1611951029.5234525,2,36.400001525878906
1611951117.0886087,3,45.79999923706055
1611951203.818071,4,53.0
1611951291.2832325,5,53.599998474121094
1611951379.0386987,6,55.0
1611951466.3339338,7,55.599998474121094
1611951552.8378925,8,62.20000076293945
1611951957.9860454,9,53.400001525878906
1611952351.128792,10,55.599998474121094
1611952743.9849832,11,56.70000076293945
1611953136.470541,12,59.400001525878906
1611953530.8287747,13,60.70000076293945
1611953823.3504586,14,56.599998474121094
1611954214.011403,15,62.599998474121094
1611954608.6516743,16,63.5
1611955075.0733008,17,62.79999923706055
1611955519.328774,18,57.79999923706055
1611955964.5223093,19,62.66666793823242
1611956395.6599145,20,62.06666564941406
1611956838.6396325,21,62.13333511352539
1611957283.421036,22,60.46666717529297
1611957731.578951,23,64.26667022705078
1611958175.6432712,24,64.19999694824219
1611958763.281232,25,62.79999923706055
1611959325.0264459,26,62.099998474121094
1611959888.1795142,27,63.29999923706055
1611960451.1717548,28,62.25
1611961012.9187121,29,61.849998474121094
1611961574.933648,30,63.900001525878906
1611962121.2158737,31,60.75
1611962679.2125757,32,62.79999923706055
1611963437.9788344,33,65.31999969482422
1611964162.264977,34,68.31999969482422
1611964886.8403864,35,68.63999938964844
1611965607.0572724,36,67.63999938964844
1611966332.0939991,37,68.08000183105469
1611967056.5589097,38,67.44000244140625
1611967781.8223526,39,68.76000213623047
1611968507.500468,40,67.80000305175781
1611969280.0003169,41,63.96666717529297
1611970011.422239,42,65.43333435058594
1611970743.578318,43,65.9000015258789
1611971475.272206,44,64.46666717529297
1611972207.4496562,45,65.19999694824219
1611972939.790742,46,64.19999694824219
1611973671.8729365,47,64.06666564941406
1611974404.0269535,48,63.93333435058594
1611975190.2908247,49,64.0857162475586
1611975927.1801198,50,65.28571319580078
1611976665.990137,51,65.11428833007812
1611977404.8037047,52,64.68571472167969
1611978143.4710436,53,65.14286041259766
1611978881.1776369,54,64.9142837524414
1611979620.3244746,55,64.05714416503906
1611980356.257518,56,64.9142837524414
1611981153.8184693,57,63.775001525878906
1611981897.7131336,58,63.875
1611982639.2902238,59,64.4000015258789
1611983369.4467337,60,63.95000076293945
1611984109.9412346,61,65.17500305175781
1611984845.5379453,62,64.3499984741211
1611985583.436696,63,64.0
1611986321.024105,64,64.625
1611987124.4210138,65,64.06666564941406
1611987869.3994079,66,65.31111145019531
1611988594.7310388,67,63.733333587646484
1611989340.1976361,68,64.73332977294922
1611990086.9590843,69,63.77777862548828
1611990829.9752398,70,64.44444274902344
1611991575.318609,71,62.377777099609375
1611992321.8720725,72,61.33333206176758
1611993130.905835,73,64.58000183105469
1611993885.6568344,74,65.55999755859375
1611994640.9224243,75,64.94000244140625
1611995395.255633,76,65.30000305175781
1611996144.549774,77,64.9800033569336
1611996898.4541063,78,64.55999755859375
1611997652.2904396,79,64.5999984741211
1611998403.2830827,80,66.0
1611999237.5614922,81,64.54545593261719
1611999997.837294,82,65.90908813476562
1612000756.9375443,83,66.0545425415039
1612001514.1864266,84,66.70909118652344
1612002272.9770522,85,65.14545440673828
1612003022.8793151,86,65.21818542480469
1612003780.319389,87,65.70909118652344
1612004540.253272,88,66.4000015258789
1612005384.582386,89,65.03333282470703
1612006151.7406356,90,65.0
1612006919.5119338,91,65.41666412353516
1612007687.7271793,92,65.71666717529297
1612008455.8754532,93,66.43333435058594
1612009223.279915,94,66.18333435058594
1612009991.6043506,95,66.0
1612010758.3227763,96,64.69999694824219
1612011621.7312453,97,66.1076889038086
1612012382.058047,98,66.66153717041016
1612013156.6275523,99,66.64615631103516
1612013930.1300402,100,67.15384674072266
1612014705.1837244,101,67.0923080444336
1612015481.054126,102,66.0923080444336
1612016255.7235348,103,65.5999984741211
1612017031.8612432,104,65.86154174804688
1612017907.6716695,105,65.0999984741211
1612018683.8441086,106,65.42857360839844
1612019464.6309829,107,65.84285736083984
1612020246.9161255,108,64.71428680419922
1612021028.7989573,109,65.71428680419922
1612021814.1074934,110,65.37142944335938
1612022587.3152366,111,64.97142791748047
1612023366.0377924,112,66.24285888671875
1612024255.7308016,113,66.5199966430664
1612025044.6613545,114,66.21333312988281
1612025834.6573374,115,66.54666900634766
1612026624.350643,116,66.36000061035156
1612027415.3234284,117,65.16000366210938
1612028199.6334846,118,66.1866683959961
1612028990.0946872,119,65.4800033569336
1612029780.3500075,120,65.74666595458984
