Wall time,Step,Value
1611628066.768175,1,56.20000076293945
1611628073.0769382,2,58.599998474121094
1611628080.4683046,3,60.400001525878906
1611628087.8645601,4,64.0
1611628095.3013823,5,64.19999694824219
1611628102.7041204,6,64.19999694824219
1611628110.089833,7,69.0
1611628117.5476668,8,69.0
1611628133.7121723,9,58.5
1611628148.0036461,10,61.400001525878906
1611628162.340229,11,66.0999984741211
1611628176.5955758,12,64.9000015258789
1611628190.940168,13,63.599998474121094
1611628205.2986739,14,67.30000305175781
1611628219.518454,15,64.19999694824219
1611628233.7816198,16,64.9000015258789
1611628251.24145,17,63.599998474121094
1611628266.3171978,18,65.93333435058594
1611628281.2722397,19,62.400001525878906
1611628296.1745083,20,63.86666488647461
1611628311.0259283,21,65.26667022705078
1611628326.0730596,22,66.0
1611628341.0112998,23,66.66666412353516
1611628356.1990423,24,63.599998474121094
1611628375.6749465,25,65.3499984741211
1611628392.012671,26,65.75
1611628408.3730662,27,65.44999694824219
1611628424.746561,28,66.0999984741211
1611628441.1078904,29,63.099998474121094
1611628457.979957,30,66.5999984741211
1611628474.198809,31,63.04999923706055
1611628490.5796032,32,65.05000305175781
1611628513.6389847,33,64.23999786376953
1611628532.5291119,34,66.04000091552734
1611628551.9773815,35,65.91999816894531
1611628570.9413524,36,67.36000061035156
1611628589.9830294,37,67.08000183105469
1611628608.926477,38,67.36000061035156
1611628627.9044414,39,67.4800033569336
1611628647.330264,40,67.95999908447266
1611628671.775095,41,66.33333587646484
1611628692.3039284,42,65.33333587646484
1611628712.1908484,43,64.96666717529297
1611628732.2436607,44,66.56666564941406
1611628751.8928125,45,66.69999694824219
1611628772.0764573,46,64.63333129882812
1611628791.6270592,47,64.66666412353516
1611628811.2512183,48,64.96666717529297
1611628836.633174,49,63.4571418762207
1611628857.5512133,50,65.22856903076172
1611628877.7824028,51,65.11428833007812
1611628898.2251856,52,63.68571472167969
1611628918.6025004,53,64.22856903076172
1611628939.1221132,54,64.57142639160156
1611628959.414347,55,64.5999984741211
1611628979.7519403,56,63.599998474121094
1611629006.636765,57,64.9000015258789
1611629027.5284662,58,64.55000305175781
1611629048.5757048,59,66.5999984741211
1611629069.4222908,60,67.32499694824219
1611629090.472334,61,65.82499694824219
1611629111.406448,62,67.57499694824219
1611629132.7688735,63,65.2750015258789
1611629154.7339284,64,66.0
1611629182.7282608,65,65.46666717529297
1611629204.5600278,66,67.57777404785156
1611629226.26334,67,67.73332977294922
1611629247.9962847,68,67.04444122314453
1611629269.718274,69,65.86666870117188
1611629291.7828276,70,66.42222595214844
1611629313.6396704,71,67.13333129882812
1611629335.5015485,72,66.24444580078125
1611629364.8698268,73,63.5
1611629387.2520826,74,65.5199966430664
1611629409.5450354,75,65.83999633789062
1611629432.0218318,76,65.81999969482422
1611629454.713912,77,65.72000122070312
1611629477.0937526,78,65.94000244140625
1611629499.400095,79,64.5
1611629521.711361,80,67.33999633789062
1611629552.1264725,81,66.34545135498047
1611629575.2544038,82,65.6727294921875
1611629598.1557446,83,65.83636474609375
1611629621.1302013,84,65.5999984741211
1611629644.4913616,85,66.23636627197266
1611629667.5249913,86,66.63636016845703
1611629690.7773886,87,66.10909271240234
1611629713.8752675,88,65.25454711914062
1611629745.798707,89,65.5999984741211
1611629769.378812,90,65.75
1611629792.9921749,91,66.19999694824219
1611629816.661406,92,65.86666870117188
1611629840.4777381,93,67.0
1611629864.3460774,94,67.6500015258789
1611629888.1618328,95,65.33333587646484
1611629911.9071527,96,66.80000305175781
1611629945.5620542,97,66.06153869628906
1611629970.105279,98,66.64615631103516
1611629994.4530888,99,67.33846282958984
1611630019.2478733,100,66.33846282958984
1611630043.8369427,101,67.03076934814453
1611630068.6046658,102,67.30769348144531
1611630093.072632,103,66.46154022216797
1611630117.5467157,104,67.16922760009766
1611630152.4445632,105,65.25714111328125
1611630177.5598826,106,67.4142837524414
1611630203.2798493,107,67.34285736083984
1611630228.2878096,108,66.81428527832031
1611630253.4526198,109,67.0999984741211
1611630278.3707314,110,66.22856903076172
1611630303.535715,111,65.87142944335938
1611630328.623301,112,64.95714569091797
1611630364.708491,113,66.62666320800781
1611630390.5698287,114,67.12000274658203
1611630416.6035888,115,68.1066665649414
1611630442.594676,116,66.98666381835938
1611630468.1421058,117,67.37333679199219
1611630493.637551,118,66.83999633789062
1611630519.0789676,119,67.26667022705078
1611630544.7221398,120,67.63999938964844
1611630581.7617354,121,65.7249984741211
1611630608.7272353,122,66.61250305175781
1611630635.5194368,123,66.8125
1611630662.9480846,124,66.13749694824219
1611630689.6901672,125,65.73750305175781
1611630716.3099635,126,64.73750305175781
1611630742.8986773,127,64.9124984741211
1611630769.2543304,128,65.19999694824219
1611630807.461255,129,69.29412078857422
1611630835.105138,130,69.78823852539062
1611630862.0560474,131,69.32941436767578
1611630889.4785113,132,68.57646942138672
1611630916.56708,133,68.5882339477539
1611630943.6549077,134,69.15293884277344
1611630970.797867,135,69.4941177368164
1611630997.9919848,136,67.56470489501953
1611631037.5360758,137,65.93333435058594
1611631065.7122376,138,67.43333435058594
1611631093.2471397,139,67.30000305175781
1611631122.2521834,140,67.5111083984375
1611631151.9101799,141,67.65555572509766
1611631181.8845813,142,66.30000305175781
1611631211.4272065,143,66.23332977294922
1611631240.6945193,144,67.0111083984375
1611631282.8294384,145,67.78947448730469
1611631313.1467774,146,67.84210205078125
1611631342.949585,147,68.4000015258789
1611631374.0739214,148,68.14736938476562
1611631404.3647609,149,67.43157958984375
1611631434.5335972,150,68.30525970458984
1611631464.5098028,151,67.96842193603516
1611631494.795701,152,68.2631607055664
1611631538.5255563,153,67.98999786376953
1611631568.5427778,154,69.20999908447266
1611631599.6439695,155,68.80999755859375
1611631630.6102965,156,69.94999694824219
1611631661.4750128,157,70.01000213623047
1611631691.9841392,158,69.44000244140625
1611631722.419879,159,70.26000213623047
1611631752.8461745,160,69.87999725341797
