Wall time,Step,Value
1610883142.4887843,1,35.400001525878906
1610883235.2327209,2,45.20000076293945
1610883328.1549091,3,47.0
1610883422.0636227,4,51.79999923706055
1610883515.3741171,5,48.400001525878906
1610883608.793546,6,48.79999923706055
1610883702.66715,7,60.599998474121094
1610883796.6623542,8,58.0
1610884213.0844455,9,53.599998474121094
1610884623.0861008,10,58.099998474121094
1610885036.7813542,11,56.099998474121094
1610885444.585732,12,58.5
1610885854.090203,13,59.599998474121094
1610886209.1670868,14,57.900001525878906
1610886466.7682443,15,59.0
1610886786.4354923,16,60.70000076293945
1610887247.441926,17,61.06666564941406
1610887692.727486,18,59.66666793823242
1610888137.7071917,19,60.93333435058594
1610888535.5670848,20,59.400001525878906
1610888923.658379,21,62.33333206176758
1610889367.4928825,22,59.33333206176758
1610889806.1355286,23,57.66666793823242
1610890250.5370204,24,56.733333587646484
1610890835.8707132,25,59.70000076293945
1610891398.6691236,26,59.70000076293945
1610891962.0821211,27,59.70000076293945
1610892524.7411385,28,61.04999923706055
1610893085.2601771,29,59.20000076293945
1610893648.1977332,30,59.25
1610894202.8499765,31,60.20000076293945
1610894765.8513467,32,58.45000076293945
1610895521.100887,33,62.68000030517578
1610896246.4989398,34,63.20000076293945
1610896972.751089,35,64.4000015258789
1610897698.8956609,36,63.52000045776367
1610898418.787949,37,64.16000366210938
1610899144.8225007,38,62.959999084472656
1610899871.3408122,39,64.27999877929688
1610900597.6591299,40,64.16000366210938
1610901365.2116084,41,61.53333282470703
1610902099.8660834,42,60.766666412353516
1610902833.483726,43,61.43333435058594
1610903559.0750496,44,60.766666412353516
1610904292.7851946,45,60.5
1610905026.6033185,46,60.29999923706055
1610905760.7192788,47,60.93333435058594
1610906494.2240872,48,62.16666793823242
1610907278.1096966,49,62.94285583496094
1610908014.6898642,50,62.0
1610908755.681641,51,59.371429443359375
1610909496.9176278,52,61.02857208251953
1610910238.7493083,53,60.11428451538086
1610910981.1139789,54,60.514286041259766
1610911711.5494452,55,62.02857208251953
1610912453.1783757,56,60.25714111328125
1610913252.152242,57,61.20000076293945
1610914000.397756,58,60.775001525878906
1610914749.1626089,59,61.32500076293945
1610915498.3539195,60,61.0
1610916247.5260117,61,60.525001525878906
1610916946.7970293,62,60.525001525878906
1610917696.8871198,63,60.125
1610918444.078528,64,60.900001525878906
1610919254.9685655,65,61.77777862548828
1610920011.338172,66,62.44444274902344
1610920773.9411352,67,61.0444450378418
1610921534.2904742,68,61.79999923706055
1610922289.0483751,69,60.77777862548828
1610923042.8398204,70,60.86666488647461
1610923798.8689919,71,60.68888854980469
1610924555.6688607,72,60.22222137451172
1610925383.9027867,73,62.279998779296875
1610926144.7631972,74,61.41999816894531
1610926908.1577566,75,62.880001068115234
1610927664.7123616,76,62.560001373291016
1610928428.810169,77,62.0
1610929193.0429316,78,62.099998474121094
1610929962.2809045,79,62.41999816894531
1610930728.6923363,80,61.880001068115234
1610931571.5827668,81,62.52727127075195
1610932351.086765,82,62.85454559326172
1610933133.0179813,83,62.599998474121094
1610933902.8785386,84,63.0
1610934673.1284332,85,62.672725677490234
1610935443.9482253,86,63.599998474121094
1610936202.658586,87,63.14545440673828
1610936969.6258473,88,62.38181686401367
1610937824.7283428,89,61.79999923706055
1610938601.9225152,90,61.983333587646484
1610939379.5818057,91,62.516666412353516
1610940156.795229,92,62.81666564941406
1610940933.7203302,93,62.75
1610941698.1799648,94,61.79999923706055
1610942420.372931,95,62.16666793823242
1610943198.274377,96,62.38333511352539
1610944066.7412143,97,64.18461608886719
1610944851.3314373,98,64.46154022216797
1610945629.578259,99,65.21538543701172
1610946413.4489753,100,64.63076782226562
1610947184.8909585,101,64.47692108154297
1610947968.8145428,102,64.4923095703125
1610948747.3004014,103,64.13845825195312
1610949531.54628,104,64.29230499267578
1610950413.26847,105,62.099998474121094
1610951194.9424706,106,62.342857360839844
1610951980.8051062,107,62.599998474121094
1610952771.186553,108,61.31428527832031
1610953561.1227906,109,61.599998474121094
1610954343.3130913,110,61.9571418762207
1610955133.833793,111,61.78571319580078
1610955899.5488486,112,62.4571418762207
1610956738.0242872,113,62.84000015258789
1610957533.3408005,114,63.7066650390625
1610958331.8510008,115,63.14666748046875
1610959130.64919,116,63.439998626708984
1610959929.7870142,117,63.30666732788086
1610960725.14342,118,62.746665954589844
1610961510.177908,119,62.13333511352539
1610962308.3296263,120,61.9466667175293
1610963201.574343,121,61.88750076293945
1610964006.7205904,122,63.212501525878906
1610964812.8526382,123,62.3125
1610965618.8173685,124,61.9375
1610966424.5733275,125,62.61249923706055
1610967227.4398715,126,61.087501525878906
1610968029.273658,127,62.099998474121094
1610968829.2565746,128,60.92499923706055
1610969751.4602268,129,63.63529586791992
1610970560.8497946,130,62.458824157714844
1610971373.7314923,131,63.0
1610972180.795339,132,63.94117736816406
1610972992.9790506,133,63.48235321044922
1610973804.7787955,134,63.30588150024414
1610974615.7255604,135,63.10588073730469
1610975428.8091965,136,63.25882339477539
1610976371.4569042,137,60.233333587646484
1610977193.868256,138,62.13333511352539
1610978014.4881322,139,60.655555725097656
1610978831.3749743,140,62.05555725097656
1610979637.8225846,141,61.13333511352539
1610980459.0833936,142,61.099998474121094
1610981222.5230606,143,62.377777099609375
1610982037.740268,144,60.78888702392578
1610982992.5216491,145,63.83157730102539
1610983821.1012287,146,63.578948974609375
1610984648.4890547,147,62.715789794921875
1610985470.006669,148,63.968421936035156
1610986298.0986302,149,63.93684387207031
1610987125.7704298,150,63.30526351928711
1610987953.6742127,151,64.95789337158203
1610988780.749306,152,64.62105560302734
1610989751.1756353,153,64.31999969482422
1610990583.8464458,154,63.83000183105469
