Wall time,Step,Value
1611691799.5094442,1,25.200000762939453
1611691896.0252457,2,30.799999237060547
1611691992.4851618,3,36.400001525878906
1611692086.9250445,4,31.399999618530273
1611692176.6713762,5,35.79999923706055
1611692265.6659307,6,36.0
1611692345.6233757,7,36.20000076293945
1611692433.1279807,8,34.400001525878906
1611692861.77929,9,33.0
1611693268.006663,10,33.0
1611693679.3152742,11,28.700000762939453
1611694075.3884795,12,31.700000762939453
1611694468.8804526,13,31.700000762939453
1611694858.747713,14,33.20000076293945
1611695253.8906546,15,33.70000076293945
1611695648.8375924,16,30.700000762939453
1611696105.7866058,17,31.866666793823242
1611696553.9232907,18,30.933332443237305
1611696999.991779,19,30.733333587646484
1611697448.8174047,20,29.33333396911621
1611697898.9304907,21,30.066667556762695
1611698348.0788283,22,30.200000762939453
1611698799.190616,23,29.53333282470703
1611699248.239482,24,29.266666412353516
1611699839.4267454,25,32.599998474121094
1611700407.1666846,26,30.799999237060547
1611700970.1960347,27,30.549999237060547
1611701537.444124,28,27.350000381469727
1611702101.3243866,29,28.049999237060547
1611702663.6598072,30,30.049999237060547
1611703225.4202306,31,28.100000381469727
1611703788.3042648,32,28.399999618530273
1611704556.6495452,33,33.2400016784668
1611705285.5280943,34,34.15999984741211
1611706012.2869384,35,34.040000915527344
1611706739.6874263,36,33.91999816894531
1611707462.7640977,37,34.20000076293945
1611708179.7864513,38,33.560001373291016
1611708897.2800596,39,33.47999954223633
1611709621.2202873,40,32.36000061035156
1611710399.403585,41,31.933332443237305
1611711130.9688492,42,30.16666603088379
1611711864.2682226,43,30.03333282470703
1611712593.946081,44,31.600000381469727
1611713322.160815,45,29.266666412353516
1611714048.4409566,46,29.133333206176758
1611714777.7575874,47,29.5
1611715505.8445706,48,30.03333282470703
1611716297.3491583,49,31.22857093811035
1611717039.3469603,50,29.14285659790039
1611717776.4318001,51,29.200000762939453
1611718514.009571,52,30.171428680419922
1611719251.5441036,53,28.457143783569336
1611719988.2921212,54,28.171428680419922
1611720726.0528712,55,27.342857360839844
1611721454.3642316,56,27.628570556640625
1611722258.3759074,57,27.674999237060547
1611723003.5677176,58,29.0
1611723746.4965088,59,28.575000762939453
1611724454.6409707,60,27.5
1611725197.020971,61,28.075000762939453
1611725942.6241856,62,28.975000381469727
1611726687.7409806,63,29.049999237060547
1611727433.0101094,64,27.25
1611728248.6857464,65,27.066667556762695
1611728995.472006,66,26.288888931274414
1611729747.231696,67,27.133333206176758
1611730499.4563775,68,25.88888931274414
1611731247.942419,69,26.799999237060547
1611731999.30805,70,25.711111068725586
1611732751.4638321,71,23.822221755981445
1611733503.751011,72,23.91111183166504
1611734332.3179228,73,29.260000228881836
1611735087.1335099,74,29.0
1611735845.9879994,75,29.100000381469727
